datetime,value,value_scaled
2015-06-23 21:00:00+00:00,27010.662,0.33959194294990014
2015-06-23 22:00:00+00:00,26506.349,0.31423723123026703
2015-06-23 23:00:00+00:00,24759.886,0.226432503027731
2015-06-24 00:00:00+00:00,23607.285,0.16848462922166063
2015-06-24 01:00:00+00:00,23103.018,0.14313223018629118
2015-06-24 02:00:00+00:00,22828.799,0.12934566570541106
2015-06-24 03:00:00+00:00,22966.833,0.13628542787197784
2015-06-24 04:00:00+00:00,23899.154,0.18315856059939128
2015-06-24 05:00:00+00:00,25295.253,0.253348477728373
2015-06-24 06:00:00+00:00,27064.852,0.34231638556408406
2015-06-24 07:00:00+00:00,28845.472,0.43183838238394223
2015-06-24 08:00:00+00:00,29948.801,0.48730906968907006
2015-06-24 09:00:00+00:00,30492.127,0.5146251890430851
2015-06-24 10:00:00+00:00,31121.942,0.5462896072946486
2015-06-24 11:00:00+00:00,31595.821,0.5701142269950885
2015-06-24 12:00:00+00:00,30800.943,0.5301511434690274
2015-06-24 13:00:00+00:00,29908.836,0.48529979954557767
2015-06-24 14:00:00+00:00,29827.788,0.4812250509758347
2015-06-24 15:00:00+00:00,29805.601,0.48010958302453544
2015-06-24 16:00:00+00:00,29547.09,0.4671127499439802
2015-06-24 17:00:00+00:00,29326.488,0.4560218200754771
2015-06-24 18:00:00+00:00,29077.906,0.44352417486567686
2015-06-24 19:00:00+00:00,29389.042,0.4591667690197039
2015-06-24 20:00:00+00:00,29521.57,0.46582971293504927
2015-06-24 21:00:00+00:00,27600.766,0.36925986109716646
2015-06-24 22:00:00+00:00,26479.118,0.3128681724218736
2015-06-24 23:00:00+00:00,24804.033,0.22865202633624504
2015-06-25 00:00:00+00:00,23787.254,0.1775327047491022
2015-06-25 01:00:00+00:00,23326.008,0.15434321853353006
2015-06-25 02:00:00+00:00,23242.699,0.15015479650464925
2015-06-25 03:00:00+00:00,23569.546,0.16658727288623543
2015-06-25 04:00:00+00:00,24990.786,0.23804117251684453
2015-06-25 05:00:00+00:00,27037.645,0.34094853337356734
2015-06-25 06:00:00+00:00,29274.534,0.45340979402680914
2015-06-25 07:00:00+00:00,31441.669,0.5623641203728027
2015-06-25 08:00:00+00:00,32784.454,0.629873636440101
2015-06-25 09:00:00+00:00,33341.093,0.6578590767854915
2015-06-25 10:00:00+00:00,34054.356,0.6937189053944717
